trade_date,ticker,weight,asof_timestamp
2021-01-04,AAPL,0.144,2021-01-04T16:00:00
2021-01-04,MSFT,0.128,2021-01-04T16:00:00
2021-01-04,NVDA,0.128,2021-01-04T16:00:00
2021-01-04,AMZN,0.08,2021-01-04T16:00:00
2021-01-04,META,0.08,2021-01-04T16:00:00
2021-01-04,GOOGL,0.04,2021-01-04T16:00:00
2021-01-04,GOOG,0.04,2021-01-04T16:00:00
2021-01-04,TSLA,0.048,2021-01-04T16:00:00
2021-01-04,AVGO,0.048,2021-01-04T16:00:00
2021-01-04,COST,0.032,2021-01-04T16:00:00
2021-01-04,NFLX,0.024,2021-01-04T16:00:00
2021-01-04,AMD,0.024,2021-01-04T16:00:00
2021-01-04,ADBE,0.016,2021-01-04T16:00:00
2021-01-04,QCOM,0.032,2021-01-04T16:00:00
2021-01-04,PEP,0.024,2021-01-04T16:00:00
2021-01-04,INTU,0.032,2021-01-04T16:00:00
2021-01-04,CSCO,0.024,2021-01-04T16:00:00
2021-01-04,TXN,0.024,2021-01-04T16:00:00
2021-01-04,AMGN,0.016,2021-01-04T16:00:00
2021-01-04,AMAT,0.016,2021-01-04T16:00:00
2021-01-05,AAPL,0.144,2021-01-05T16:00:00
2021-01-05,MSFT,0.128,2021-01-05T16:00:00
2021-01-05,NVDA,0.128,2021-01-05T16:00:00
2021-01-05,AMZN,0.08,2021-01-05T16:00:00
2021-01-05,META,0.08,2021-01-05T16:00:00
2021-01-05,GOOGL,0.04,2021-01-05T16:00:00
2021-01-05,GOOG,0.04,2021-01-05T16:00:00
2021-01-05,TSLA,0.048,2021-01-05T16:00:00
2021-01-05,AVGO,0.048,2021-01-05T16:00:00
2021-01-05,COST,0.032,2021-01-05T16:00:00
2021-01-05,NFLX,0.024,2021-01-05T16:00:00
2021-01-05,AMD,0.024,2021-01-05T16:00:00
2021-01-05,ADBE,0.016,2021-01-05T16:00:00
2021-01-05,QCOM,0.032,2021-01-05T16:00:00
2021-01-05,PEP,0.024,2021-01-05T16:00:00
2021-01-05,INTU,0.032,2021-01-05T16:00:00
2021-01-05,CSCO,0.024,2021-01-05T16:00:00
2021-01-05,TXN,0.024,2021-01-05T16:00:00
2021-01-05,AMGN,0.016,2021-01-05T16:00:00
2021-01-05,AMAT,0.016,2021-01-05T16:00:00
2021-01-06,AAPL,0.144,2021-01-06T16:00:00
2021-01-06,MSFT,0.128,2021-01-06T16:00:00
2021-01-06,NVDA,0.128,2021-01-06T16:00:00
2021-01-06,AMZN,0.08,2021-01-06T16:00:00
2021-01-06,META,0.08,2021-01-06T16:00:00
2021-01-06,GOOGL,0.04,2021-01-06T16:00:00
2021-01-06,GOOG,0.04,2021-01-06T16:00:00
2021-01-06,TSLA,0.048,2021-01-06T16:00:00
2021-01-06,AVGO,0.048,2021-01-06T16:00:00
2021-01-06,COST,0.032,2021-01-06T16:00:00
2021-01-06,NFLX,0.024,2021-01-06T16:00:00
2021-01-06,AMD,0.024,2021-01-06T16:00:00
2021-01-06,ADBE,0.016,2021-01-06T16:00:00
2021-01-06,QCOM,0.032,2021-01-06T16:00:00
2021-01-06,PEP,0.024,2021-01-06T16:00:00
2021-01-06,INTU,0.032,2021-01-06T16:00:00
2021-01-06,CSCO,0.024,2021-01-06T16:00:00
2021-01-06,TXN,0.024,2021-01-06T16:00:00
2021-01-06,AMGN,0.016,2021-01-06T16:00:00
2021-01-06,AMAT,0.016,2021-01-06T16:00:00
2021-01-07,AAPL,0.144,2021-01-07T16:00:00
2021-01-07,MSFT,0.128,2021-01-07T16:00:00
2021-01-07,NVDA,0.128,2021-01-07T16:00:00
2021-01-07,AMZN,0.08,2021-01-07T16:00:00
2021-01-07,META,0.08,2021-01-07T16:00:00
2021-01-07,GOOGL,0.04,2021-01-07T16:00:00
2021-01-07,GOOG,0.04,2021-01-07T16:00:00
2021-01-07,TSLA,0.048,2021-01-07T16:00:00
2021-01-07,AVGO,0.048,2021-01-07T16:00:00
2021-01-07,COST,0.032,2021-01-07T16:00:00
2021-01-07,NFLX,0.024,2021-01-07T16:00:00
2021-01-07,AMD,0.024,2021-01-07T16:00:00
2021-01-07,ADBE,0.016,2021-01-07T16:00:00
2021-01-07,QCOM,0.032,2021-01-07T16:00:00
2021-01-07,PEP,0.024,2021-01-07T16:00:00
2021-01-07,INTU,0.032,2021-01-07T16:00:00
2021-01-07,CSCO,0.024,2021-01-07T16:00:00
2021-01-07,TXN,0.024,2021-01-07T16:00:00
2021-01-07,AMGN,0.016,2021-01-07T16:00:00
2021-01-07,AMAT,0.016,2021-01-07T16:00:00
2021-01-08,AAPL,0.144,2021-01-08T16:00:00
2021-01-08,MSFT,0.128,2021-01-08T16:00:00
2021-01-08,NVDA,0.128,2021-01-08T16:00:00
2021-01-08,AMZN,0.08,2021-01-08T16:00:00
2021-01-08,META,0.08,2021-01-08T16:00:00
