date,QQQ
2000-01-03,94.75
2000-01-04,88.25
2000-01-05,86.0
2000-01-06,80.09375
2000-01-07,90.0
2000-01-10,92.5
2000-01-11,88.0
2000-01-12,86.0625
2000-01-13,91.25
2000-01-14,93.375
2000-01-18,93.875
2000-01-19,96.0
2000-01-20,95.0625
2000-01-21,96.25
2000-01-24,91.625
2000-01-25,93.0
2000-01-26,89.25
2000-01-27,90.5625
2000-01-28,86.0
2000-01-31,89.6875
2000-02-01,92.09375
2000-02-02,92.875
2000-02-03,96.5
2000-02-04,97.15625
2000-02-07,98.5
2000-02-08,102.625
2000-02-09,99.0
2000-02-10,102.25
2000-02-11,99.875
2000-02-14,99.75
2000-02-15,100.46875
2000-02-16,100.0
2000-02-17,102.125
2000-02-18,98.4375
2000-02-22,98.75
2000-02-23,104.25
2000-02-24,106.5
2000-02-25,104.0625
2000-02-28,104.0
2000-02-29,106.75
2000-03-01,107.625
2000-03-02,105.132812
2000-03-03,111.0625
2000-03-06,111.9375
2000-03-07,110.25
2000-03-08,111.25
2000-03-09,115.0
2000-03-10,114.5
2000-03-13,111.5
2000-03-14,107.375
2000-03-15,102.875
2000-03-16,108.75
2000-03-17,110.8125
2000-03-20,107.6875
2000-03-21,111.75
2000-03-22,114.0
2000-03-23,116.0
2000-03-24,117.5625
2000-03-27,117.75
2000-03-28,114.75
2000-03-29,110.0
2000-03-30,107.25
2000-03-31,109.5
2000-04-03,102.9375
2000-04-04,101.9375
2000-04-05,100.125
2000-04-06,102.5
2000-04-07,106.625
2000-04-10,100.125
2000-04-11,97.75
2000-04-12,92.0
2000-04-13,88.0
2000-04-14,80.375
2000-04-17,89.625
2000-04-18,92.0
2000-04-19,89.1875
2000-04-20,87.25
2000-04-24,84.75
2000-04-25,90.46875
2000-04-26,87.375
2000-04-27,91.25
2000-04-28,94.75
2000-05-01,95.625
2000-05-02,90.125
2000-05-03,89.125
2000-05-04,89.3125
2000-05-05,91.4375
2000-05-08,87.875
2000-05-09,86.0
2000-05-10,79.75
2000-05-11,84.625
2000-05-12,84.625
2000-05-15,88.3125
2000-05-16,90.8125
2000-05-17,88.9375
2000-05-18,85.75
2000-05-19,81.6875
2000-05-22,81.625
2000-05-23,74.8125
2000-05-24,79.5
2000-05-25,77.75
2000-05-26,77.75
2000-05-30,85.5625
2000-05-31,83.125
2000-06-01,87.375
2000-06-02,93.625
2000-06-05,93.859375
2000-06-06,91.25
2000-06-07,93.6875
2000-06-08,93.25
2000-06-09,93.75
2000-06-12,90.75
2000-06-13,94.25
2000-06-14,92.125
2000-06-15,93.75
2000-06-16,94.25
2000-06-19,98.0
2000-06-20,97.625
2000-06-21,98.875
2000-06-22,95.25
2000-06-23,91.5
2000-06-26,94.0
2000-06-27,92.875
2000-06-28,94.0
2000-06-29,91.640625
2000-06-30,93.4375
2000-07-03,95.25
2000-07-05,91.5625
2000-07-06,94.0
2000-07-07,95.9375
2000-07-10,94.484375
2000-07-11,95.0
2000-07-12,97.25
2000-07-13,98.5
2000-07-14,100.625
2000-07-17,101.75
2000-07-18,99.5
2000-07-19,97.25
2000-07-20,100.375
2000-07-21,97.0
2000-07-24,95.0
2000-07-25,95.75
2000-07-26,95.625
2000-07-27,91.875
2000-07-28,86.875
2000-07-31,89.4375
2000-08-01,88.25
2000-08-02,86.6875
2000-08-03,90.4375
2000-08-04,90.125
2000-08-07,92.25
2000-08-08,94.125
2000-08-09,91.625
2000-08-10,89.8125
2000-08-11,91.0625
2000-08-14,93.0
2000-08-15,93.0
2000-08-16,93.9375
2000-08-17,95.75
2000-08-18,95.25
2000-08-21,95.5
2000-08-22,95.5
2000-08-23,97.0625
2000-08-24,98.5625
2000-08-25,98.03125
2000-08-28,98.5
2000-08-29,99.0
2000-08-30,98.875
2000-08-31,101.625
2000-09-01,102.625
2000-09-05,99.5
2000-09-06,96.0
2000-09-07,98.125
2000-09-08,95.125
2000-09-11,92.8125
2000-09-12,91.375
2000-09-13,93.5
2000-09-14,93.0
2000-09-15,91.3125
2000-09-18,89.875
2000-09-19,93.1875
2000-09-20,94.625
2000-09-21,87.75
2000-09-22,92.9375
2000-09-25,90.46875
2000-09-26,89.4375
2000-09-27,89.5625
2000-09-28,91.5625
2000-09-29,88.75
2000-10-02,86.75
2000-10-03,84.0
2000-10-04,85.625
2000-10-05,85.875
2000-10-06,83.0
2000-10-09,82.625
2000-10-10,78.3125
2000-10-11,77.0625
2000-10-12,75.125
2000-10-13,81.25
2000-10-16,82.0
2000-10-17,78.25
2000-10-18,78.0
2000-10-19,85.0625
2000-10-20,86.3125
2000-10-23,86.1875
2000-10-24,82.5
2000-10-25,77.875
2000-10-26,79.875
2000-10-27,79.71875
2000-10-30,76.765625
2000-10-31,81.703125
2000-11-01,81.0
2000-11-02,82.0
2000-11-03,83.0625
2000-11-06,82.4375
2000-11-07,82.125
2000-11-08,75.703125
2000-11-09,75.6875
2000-11-10,71.75
2000-11-13,71.859375
2000-11-14,75.84375
2000-11-15,77.375
2000-11-16,72.875
2000-11-17,72.828125
2000-11-20,69.859375
2000-11-21,69.75
2000-11-22,66.625
2000-11-24,70.4375
2000-11-27,69.5625
2000-11-28,65.453125
2000-11-29,62.9375
2000-11-30,62.984375
2000-12-01,64.0
2000-12-04,65.0
2000-12-05,70.6875
2000-12-06,68.0
2000-12-07,66.5
2000-12-08,68.0
2000-12-11,74.375
2000-12-12,71.65625
2000-12-13,68.734375
2000-12-14,65.375
2000-12-15,63.875
2000-12-18,64.0
2000-12-19,59.125
2000-12-20,55.734375
2000-12-21,56.0625
2000-12-22,60.5
2000-12-26,60.875
2000-12-27,61.5625
2000-12-28,61.4375
2000-12-29,58.375
2001-01-02,53.4375
2001-01-03,62.4375
2001-01-04,61.3125
2001-01-05,56.625
2001-01-08,57.25
2001-01-09,57.25
2001-01-10,60.1875
2001-01-11,61.9375
2001-01-12,62.734375
2001-01-16,61.984375
2001-01-17,63.875
2001-01-18,66.5625
2001-01-19,66.3125
2001-01-22,66.375
2001-01-23,67.765625
2001-01-24,67.125
2001-01-25,64.5
2001-01-26,65.546875
2001-01-29,67.0
2001-01-30,66.75
2001-01-31,64.300003
2001-02-01,65.150002
2001-02-02,61.549999
2001-02-05,61.5
2001-02-06,61.599998
2001-02-07,60.599998
2001-02-08,58.790001
2001-02-09,56.400002
2001-02-12,57.080002
2001-02-13,55.25
2001-02-14,57.450001
2001-02-15,58.400002
2001-02-16,55.130001
2001-02-20,52.990002
2001-02-21,51.5
2001-02-22,51.0
2001-02-23,51.18
2001-02-26,52.150002
2001-02-27,49.0
2001-02-28,47.450001
2001-03-01,48.799999
2001-03-02,46.700001
2001-03-05,47.549999
2001-03-06,49.400002
2001-03-07,49.419998
2001-03-08,48.5
2001-03-09,45.099998
2001-03-12,42.299999
2001-03-13,44.450001
2001-03-14,43.75
2001-03-15,42.150002
2001-03-16,41.200001
2001-03-19,43.259998
2001-03-20,40.349998
2001-03-21,40.349998
2001-03-22,42.799999
2001-03-23,42.799999
2001-03-26,41.810001
2001-03-27,43.25
2001-03-28,39.700001
2001-03-29,38.950001
2001-03-30,39.150002
2001-04-02,37.400002
2001-04-03,34.66
2001-04-04,34.049999
2001-04-05,37.310001
2001-04-06,35.950001
2001-04-09,37.049999
2001-04-10,39.799999
2001-04-11,41.0
2001-04-12,42.799999
2001-04-16,40.25
2001-04-17,41.25
2001-04-18,45.549999
2001-04-19,48.299999
2001-04-20,48.400002
2001-04-23,45.150002
2001-04-24,44.299999
2001-04-25,45.099998
2001-04-26,43.950001
2001-04-27,45.150002
2001-04-30,46.150002
2001-05-01,48.049999
2001-05-02,48.98
2001-05-03,46.799999
2001-05-04,48.200001
2001-05-07,47.200001
2001-05-08,48.200001
2001-05-09,46.549999
2001-05-10,45.77
2001-05-11,45.549999
2001-05-14,44.82
2001-05-15,45.150002
2001-05-16,47.150002
2001-05-17,47.900002
2001-05-18,48.040001
2001-05-21,51.049999
2001-05-22,50.900002
2001-05-23,48.650002
2001-05-24,49.900002
2001-05-25,48.990002
2001-05-29,46.119999
2001-05-30,44.43
2001-05-31,44.73
2001-06-01,46.049999
2001-06-04,45.830002
2001-06-05,47.849998
2001-06-06,47.48
2001-06-07,48.700001
2001-06-08,47.349998
2001-06-11,46.049999
2001-06-12,45.799999
2001-06-13,44.549999
2001-06-14,42.25
2001-06-15,42.599998
2001-06-18,42.029999
2001-06-19,41.82
2001-06-20,42.77
2001-06-21,43.349998
2001-06-22,43.25
2001-06-25,43.360001
2001-06-26,43.509998
2001-06-27,43.790001
2001-06-28,44.349998
2001-06-29,45.700001
2001-07-02,45.450001
2001-07-03,45.639999
2001-07-05,43.450001
2001-07-06,41.650002
2001-07-09,42.009998
2001-07-10,40.5
2001-07-11,41.0
2001-07-12,43.599998
2001-07-13,43.150002
2001-07-16,42.349998
2001-07-17,43.299999
2001-07-18,41.650002
2001-07-19,42.639999
2001-07-20,41.650002
2001-07-23,40.610001
2001-07-24,40.150002
2001-07-25,40.5
2001-07-26,41.099998
2001-07-27,41.950001
2001-07-30,41.700001
2001-07-31,41.759998
2001-08-01,43.099998
2001-08-02,43.91
2001-08-03,43.18
2001-08-06,42.5
2001-08-07,42.279999
2001-08-08,40.5
2001-08-09,40.669998
2001-08-10,40.279999
2001-08-13,41.099998
2001-08-14,40.599998
2001-08-15,39.099998
2001-08-16,39.560001
2001-08-17,37.759998
2001-08-20,38.279999
2001-08-21,36.689999
2001-08-22,37.689999
2001-08-23,37.32
2001-08-24,39.299999
2001-08-27,39.349998
2001-08-28,38.119999
2001-08-29,37.560001
2001-08-30,36.169998
2001-08-31,36.630001
2001-09-04,35.470001
2001-09-05,35.330002
2001-09-06,33.900002
2001-09-07,33.700001
2001-09-10,34.099998
2001-09-17,31.200001
2001-09-18,30.5
2001-09-19,29.969999
2001-09-20,28.969999
2001-09-21,28.190001
2001-09-24,29.610001
2001-09-25,29.700001
2001-09-26,28.67
2001-09-27,28.48
2001-09-28,28.98
2001-10-01,28.73
2001-10-02,28.82
2001-10-03,31.0
2001-10-04,31.299999
2001-10-05,31.76
2001-10-08,31.860001
2001-10-09,31.09
2001-10-10,32.5
2001-10-11,34.700001
2001-10-12,34.549999
2001-10-15,34.400002
2001-10-16,34.959999
2001-10-17,32.450001
2001-10-18,33.330002
2001-10-19,33.549999
2001-10-22,34.450001
2001-10-23,34.630001
2001-10-24,35.380001
2001-10-25,36.799999
2001-10-26,36.009998
2001-10-29,34.040001
2001-10-30,33.380001
2001-10-31,33.900002
2001-11-01,35.34
2001-11-02,35.599998
2001-11-05,36.759998
2001-11-06,38.189999
2001-11-07,38.139999
2001-11-08,37.75
2001-11-09,37.73
2001-11-12,38.0
2001-11-13,39.360001
2001-11-14,39.639999
2001-11-15,39.48
2001-11-16,39.369999
2001-11-19,40.490002
2001-11-20,38.619999
2001-11-21,38.419998
2001-11-23,39.279999
2001-11-26,40.25
2001-11-27,40.200001
2001-11-28,38.75
2001-11-29,39.950001
2001-11-30,39.650002
2001-12-03,38.970001
2001-12-04,40.830002
2001-12-05,42.849998
2001-12-06,42.91
2001-12-07,41.73
2001-12-10,41.0
2001-12-11,41.23
2001-12-12,41.560001
2001-12-13,39.759998
2001-12-14,40.110001
2001-12-17,40.799999
2001-12-18,41.259998
2001-12-19,40.509998
2001-12-20,38.790001
2001-12-21,39.48
2001-12-24,39.32
2001-12-26,39.689999
2001-12-27,40.009998
2001-12-28,40.330002
2001-12-31,38.91
2002-01-02,40.110001
2002-01-03,41.5
2002-01-04,41.669998
2002-01-07,41.209999
2002-01-08,41.490002
2002-01-09,41.110001
2002-01-10,41.380001
2002-01-11,40.849998
2002-01-14,39.959999
2002-01-15,40.34
2002-01-16,38.779999
2002-01-17,39.650002
2002-01-18,38.59
2002-01-22,37.400002
2002-01-23,38.43
2002-01-24,38.939999
2002-01-25,38.830002
2002-01-28,39.049999
2002-01-29,37.98
2002-01-30,38.27
2002-01-31,38.509998
2002-02-01,38.139999
2002-02-04,36.919998
2002-02-05,36.310001
2002-02-06,36.060001
2002-02-07,35.189999
2002-02-08,36.169998
2002-02-11,36.630001
2002-02-12,36.330002
2002-02-13,36.950001
2002-02-14,36.880001
2002-02-15,35.779999
2002-02-19,34.68
2002-02-20,35.150002
2002-02-21,33.48
2002-02-22,33.650002
2002-02-25,35.009998
2002-02-26,34.880001
2002-02-27,34.400002
2002-02-28,33.779999
2002-03-01,35.740002
2002-03-04,37.150002
2002-03-05,37.419998
2002-03-06,37.599998
2002-03-07,37.68
2002-03-08,38.669998
2002-03-11,38.529999
2002-03-12,38.0
2002-03-13,37.080002
2002-03-14,36.860001
2002-03-15,37.23
2002-03-18,37.439999
2002-03-19,37.380001
2002-03-20,36.060001
2002-03-21,37.02
2002-03-22,36.68
2002-03-25,35.560001
2002-03-26,35.889999
2002-03-27,35.610001
2002-03-28,36.060001
2002-04-01,36.75
2002-04-02,35.09
2002-04-03,35.029999
2002-04-04,34.759998
2002-04-05,34.369999
2002-04-08,34.799999
2002-04-09,33.59
2002-04-10,33.84
2002-04-11,33.0
2002-04-12,33.52
2002-04-15,33.790001
2002-04-16,35.200001
2002-04-17,35.02
2002-04-18,34.349998
2002-04-19,34.459999
2002-04-22,33.59
2002-04-23,33.009998
2002-04-24,32.5
2002-04-25,32.419998
2002-04-26,31.040001
2002-04-29,31.120001
2002-04-30,31.73
2002-05-01,31.559999
2002-05-02,30.51
2002-05-03,29.74
2002-05-06,28.969999
2002-05-07,28.700001
2002-05-08,31.77
2002-05-09,30.950001
2002-05-10,29.559999
2002-05-13,30.76
2002-05-14,32.57
2002-05-15,32.810001
2002-05-16,32.860001
2002-05-17,32.93
2002-05-20,32.209999
2002-05-21,31.33
2002-05-22,31.4
2002-05-23,32.029999
2002-05-24,31.24
2002-05-28,31.1
2002-05-29,30.280001
2002-05-30,30.540001
2002-05-31,30.040001
2002-06-03,28.98
2002-06-04,29.360001
2002-06-05,29.66
2002-06-06,28.879999
2002-06-07,28.299999
2002-06-10,28.25
2002-06-11,27.459999
2002-06-12,27.860001
2002-06-13,27.68
2002-06-14,27.620001
2002-06-17,28.559999
2002-06-18,29.02
2002-06-19,27.34
2002-06-20,26.459999
2002-06-21,25.82
2002-06-24,26.33
2002-06-25,25.459999
2002-06-26,25.65
2002-06-27,26.209999
2002-06-28,26.1
2002-07-01,24.85
2002-07-02,23.950001
2002-07-03,24.75
2002-07-05,26.34
2002-07-08,25.379999
2002-07-09,24.66
2002-07-10,23.9
2002-07-11,24.799999
2002-07-12,24.799999
2002-07-15,25.57
2002-07-16,25.190001
2002-07-17,25.65
2002-07-18,24.73
2002-07-19,23.99
2002-07-22,23.4
2002-07-23,22.4
2002-07-24,23.620001
2002-07-25,22.25
2002-07-26,22.67
2002-07-29,23.83
2002-07-30,24.309999
2002-07-31,23.85
2002-08-01,22.73
2002-08-02,22.25
2002-08-05,21.440001
2002-08-06,22.5
2002-08-07,22.799999
2002-08-08,23.57
2002-08-09,23.33
2002-08-12,23.4
2002-08-13,22.6
2002-08-14,24.040001
2002-08-15,24.530001
2002-08-16,24.700001
2002-08-19,25.299999
2002-08-20,25.190001
2002-08-21,25.75
2002-08-22,26.16
2002-08-23,25.15
2002-08-26,25.25
2002-08-27,24.370001
2002-08-28,23.48
2002-08-29,23.790001
2002-08-30,23.49
2002-09-03,22.639999
2002-09-04,22.73
2002-09-05,22.17
2002-09-06,22.85
2002-09-09,23.08
2002-09-10,23.65
2002-09-11,23.450001
2002-09-12,22.809999
2002-09-13,22.99
2002-09-16,22.66
2002-09-17,22.18
2002-09-18,21.93
2002-09-19,21.58
2002-09-20,21.67
2002-09-23,21.02
2002-09-24,21.030001
2002-09-25,21.870001
2002-09-26,21.6
2002-09-27,21.309999
2002-09-30,20.719999
2002-10-01,21.98
2002-10-02,21.25
2002-10-03,20.74
2002-10-04,20.35
2002-10-07,20.16
2002-10-08,20.200001
2002-10-09,20.059999
2002-10-10,21.08
2002-10-11,22.219999
2002-10-14,22.48
2002-10-15,23.559999
2002-10-16,22.780001
2002-10-17,23.549999
2002-10-18,23.809999
2002-10-21,24.290001
2002-10-22,24.139999
2002-10-23,24.6
2002-10-24,23.98
2002-10-25,24.700001
2002-10-28,24.49
2002-10-29,23.92
2002-10-30,24.559999
2002-10-31,24.549999
2002-11-01,25.25
2002-11-04,25.9
2002-11-05,26.1
2002-11-06,26.469999
2002-11-07,25.540001
2002-11-08,25.07
2002-11-11,24.309999
2002-11-12,24.93
2002-11-13,25.23
2002-11-14,26.1
2002-11-15,26.440001
2002-11-18,26.049999
2002-11-19,25.65
2002-11-20,26.74
2002-11-21,27.73
2002-11-22,27.719999
2002-11-25,27.99
2002-11-26,27.049999
2002-11-27,27.91
2002-11-29,27.719999
2002-12-02,28.0
2002-12-03,27.17
2002-12-04,26.57
2002-12-05,26.200001
2002-12-06,26.469999
2002-12-09,25.219999
2002-12-10,25.6
2002-12-11,25.719999
2002-12-12,25.860001
2002-12-13,25.040001
2002-12-16,25.85
2002-12-17,25.93
2002-12-18,25.379999
2002-12-19,25.059999
2002-12-20,25.32
2002-12-23,25.67
2002-12-24,25.35
2002-12-26,25.280001
2002-12-27,24.82
2002-12-30,24.629999
2002-12-31,24.370001
2003-01-02,25.4
2003-01-03,25.68
2003-01-06,26.32
2003-01-07,26.65
2003-01-08,25.9
2003-01-09,26.700001
2003-01-10,27.1
2003-01-13,26.940001
2003-01-14,27.08
2003-01-15,26.74
2003-01-16,26.440001
2003-01-17,25.309999
2003-01-21,25.030001
2003-01-22,24.93
2003-01-23,25.51
2003-01-24,24.82
2003-01-27,24.530001
2003-01-28,24.780001
2003-01-29,25.15
2003-01-30,24.5
2003-01-31,24.440001
2003-02-03,24.49
2003-02-04,24.190001
2003-02-05,24.08
2003-02-06,24.209999
2003-02-07,23.809999
2003-02-10,24.02
2003-02-11,24.15
2003-02-12,23.82
2003-02-13,23.940001
2003-02-14,24.49
2003-02-18,25.25
2003-02-19,25.08
2003-02-20,24.98
2003-02-21,25.17
2003-02-24,24.74
2003-02-25,24.77
2003-02-26,24.219999
2003-02-27,24.77
2003-02-28,25.16
2003-03-03,24.65
2003-03-04,24.5
2003-03-05,24.549999
2003-03-06,24.49
2003-03-07,24.540001
2003-03-10,24.01
2003-03-11,23.799999
2003-03-12,24.23
2003-03-13,25.620001
2003-03-14,25.719999
2003-03-17,26.6
2003-03-18,26.93
2003-03-19,26.700001
2003-03-20,26.799999
2003-03-21,27.17
2003-03-24,26.040001
2003-03-25,26.41
2003-03-26,26.559999
2003-03-27,26.370001
2003-03-28,26.08
2003-03-31,25.25
2003-04-01,25.450001
2003-04-02,26.15
2003-04-03,26.48
2003-04-04,26.049999
2003-04-07,26.09
2003-04-08,26.059999
2003-04-09,25.459999
2003-04-10,25.77
2003-04-11,25.51
2003-04-14,26.030001
2003-04-15,26.280001
2003-04-16,26.219999
2003-04-17,26.82
2003-04-21,26.92
2003-04-22,27.43
2003-04-23,27.629999
2003-04-24,27.48
2003-04-25,26.950001
2003-04-28,27.48
2003-04-29,27.73
2003-04-30,27.450001
2003-05-01,27.690001
2003-05-02,28.280001
2003-05-05,28.25
2003-05-06,28.610001
2003-05-07,28.290001
2003-05-08,27.77
2003-05-09,28.41
2003-05-12,28.84
2003-05-13,28.66
2003-05-14,28.6
2003-05-15,28.92
2003-05-16,28.700001
2003-05-19,27.690001
2003-05-20,27.77
2003-05-21,27.690001
2003-05-22,28.09
2003-05-23,28.1
2003-05-27,29.1
2003-05-28,29.190001
2003-05-29,29.309999
2003-05-30,29.790001
2003-06-02,29.58
2003-06-03,29.860001
2003-06-04,30.42
2003-06-05,30.639999
2003-06-06,30.129999
2003-06-09,29.73
2003-06-10,30.18
2003-06-11,30.52
2003-06-12,30.65
2003-06-13,29.959999
2003-06-16,30.879999
2003-06-17,30.76
2003-06-18,30.92
2003-06-19,30.42
2003-06-20,30.379999
2003-06-23,29.91
2003-06-24,29.68
2003-06-25,29.52
2003-06-26,30.219999
2003-06-27,29.83
2003-06-30,29.950001
2003-07-01,30.35
2003-07-02,30.969999
2003-07-03,30.58
2003-07-07,31.889999
2003-07-08,32.279999
2003-07-09,32.200001
2003-07-10,31.6
2003-07-11,31.84
2003-07-14,32.220001
2003-07-15,32.259998
2003-07-16,32.16
2003-07-17,31.18
2003-07-18,31.280001
