instrument_id,canonical_symbol,price_symbol,price_source,available_from,available_to,asset_class,price_join_required
CUSIP:037833100,AAPL,AAPL,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:009066101,ABNB,ABNB,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:00724F101,ADBE,ADBE,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:032654105,ADI,ADI,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:053015103,ADP,ADP,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:052769106,ADSK,ADSK,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:025537101,AEP,AEP,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:02043Q107,ALNY,ALNY,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:038222105,AMAT,AMAT,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:007903107,AMD,AMD,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:031162100,AMGN,AMGN,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:023135106,AMZN,AMZN,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:03831W108,APP,APP,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:042068205,ARM,ARM,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:N07059210,ASML,ASML,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:11135F101,AVGO,AVGO,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:05464C101,AXON,AXON,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:09857L108,BKNG,BKNG,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:05722G100,BKR,BKR,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:G25839104,CCEP,CCEP,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:127387108,CDNS,CDNS,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:21037T109,CEG,CEG,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:16119P108,CHTR,CHTR,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:20030N101,CMCSA,CMCSA,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:22160K105,COST,COST,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:217204106,CPRT,CPRT,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:22788C105,CRWD,CRWD,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:17275R102,CSCO,CSCO,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:22160N109,CSGP,CSGP,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:126408103,CSX,CSX,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:172908105,CTAS,CTAS,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:192446102,CTSH,CTSH,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:25809K105,DASH,DASH,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:23804L103,DDOG,DDOG,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:252131107,DXCM,DXCM,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:285512109,EA,EA,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:30161N101,EXC,EXC,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:25278X109,FANG,FANG,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:311900104,FAST,FAST,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:N3168P101,FER,FER,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:34959E109,FTNT,FTNT,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:36266G107,GEHC,GEHC,invesco_namespace_seed,1999-03-10,,equity,True
CUSIP:375558103,GILD,GILD,invesco_namespace_seed,1999-03-10,,equity,True
