raw_symbol,canonical_symbol,instrument_id,id_type,share_class,raw_weight,normalized_weight,normalization_status,normalization_source,normalization_override_flag,raw_name,isin,cusip,sedol,exchange,asset_class,price_join_required
NVDA,NVDA,CUSIP:67066G104,CUSIP,,9.31772,0.0931772,resolved_by_primary_id,canonical_master_primary_id,False,NVIDIA Corp,,67066G104,,NASDAQ,equity,True
AAPL,AAPL,CUSIP:037833100,CUSIP,,6.954839,0.06954839,resolved_by_primary_id,canonical_master_primary_id,False,Apple Inc,,037833100,,NASDAQ,equity,True
MSFT,MSFT,CUSIP:594918104,CUSIP,,5.584229,0.055842289999999996,resolved_by_primary_id,canonical_master_primary_id,False,Microsoft Corp,,594918104,,NASDAQ,equity,True
AMZN,AMZN,CUSIP:023135106,CUSIP,,4.962081,0.04962081,resolved_by_primary_id,canonical_master_primary_id,False,Amazon.com Inc,,023135106,,NASDAQ,equity,True
GOOGL,GOOGL,CUSIP:02079K305,CUSIP,,3.610663,0.03610663,resolved_by_primary_id,canonical_master_primary_id,False,Alphabet Inc Class A,,02079K305,,NASDAQ,equity,True
META,META,CUSIP:30303M102,CUSIP,,3.543073,0.03543073,resolved_by_primary_id,canonical_master_primary_id,False,Meta Platforms Inc,,30303M102,,NASDAQ,equity,True
AVGO,AVGO,CUSIP:11135F101,CUSIP,,3.509974,0.035099740000000004,resolved_by_primary_id,canonical_master_primary_id,False,Broadcom Inc,,11135F101,,NASDAQ,equity,True
GOOG,GOOG,CUSIP:02079K107,CUSIP,,3.354997,0.03354997,resolved_by_primary_id,canonical_master_primary_id,False,Alphabet Inc Class C,,02079K107,,NASDAQ,equity,True
TSLA,TSLA,CUSIP:88160R101,CUSIP,,3.345655,0.03345655,resolved_by_primary_id,canonical_master_primary_id,False,Tesla Inc,,88160R101,,NASDAQ,equity,True
WMT,WMT,CUSIP:931142103,CUSIP,,3.047351,0.03047351,resolved_by_primary_id,canonical_master_primary_id,False,Walmart Inc,,931142103,,NASDAQ,equity,True
MU,MU,CUSIP:595112103,CUSIP,,2.88527,0.0288527,resolved_by_primary_id,canonical_master_primary_id,False,Micron Technology Inc,,595112103,,NASDAQ,equity,True
