metric,state,n_obs,median,q25,q75
r1w,0,17,-0.031063530866336703,-0.04893878210335411,0.006861156194278228
r1w,1,33,-0.010964520477446912,-0.031184266347635988,0.023351189320226288
r1w,2,70,0.0018264455578011502,-0.013302232999271985,0.017501504735400776
r1w,3,33,0.001717486835565817,-0.007645553728779942,0.013889147351422016
r1w,4,43,0.01839706686301881,0.004021508658437974,0.032624069414933246
R4w,0,17,-0.08118161526597217,-0.09753420921302686,-0.03394060917868383
R4w,1,33,-0.00651507881477774,-0.05816346581639165,0.03678429598999542
R4w,2,70,0.02018544461781584,0.0019328552246878244,0.04328515492416168
R4w,3,33,-0.005689881504872041,-0.03822842463168732,0.010074624937452271
R4w,4,43,0.054627161870584424,0.03204953153272262,0.06674804778189536
sigma4w,0,17,0.14415898428079016,0.1279404989133611,0.15542463192283879
sigma4w,1,33,0.1495240750629086,0.12310476910967712,0.16539872455685675
sigma4w,2,70,0.07128232334709085,0.05996766187921733,0.08483843388703544
sigma4w,3,33,0.08474310928284143,0.07222094297325425,0.101254706496603
sigma4w,4,43,0.07463586694210045,0.05471261634641423,0.09049363070918434
mdd8w,0,17,0.15460484417628315,0.13132746593170802,0.17130509903831176
mdd8w,1,33,0.1365572791561083,0.08825670809345568,0.15939834310832604
mdd8w,2,70,0.03698672539165151,0.026233607678284643,0.07157667039971491
mdd8w,3,33,0.06175385337577138,0.044595730641953824,0.07108294367104863
mdd8w,4,43,0.05547377112117102,0.03336958809821948,0.07424163277878772
