signal,horizon_weeks,target,subsample,n_obs,spearman_rho,spearman_pvalue,ols_beta,hac_tstat,hac_pvalue,tercile_bottom_median,tercile_top_median,tercile_spread
h_t,1,fwd_ret_1w,full,196,-0.07554689078202306,0.2926178718858597,-0.009100621104528084,-0.8975088878134211,0.36944743295502913,0.004065134292177068,0.0018978223676570933,-0.0021673119245199744
h_t,1,fwd_ret_1w,high_conf,58,-0.0868374911562952,0.5168786827448153,-0.007855254343701644,-0.3225022787486918,0.7470722117112597,0.006933048094120619,-0.012851623050050998,-0.019784671144171616
h_t,1,fwd_vol_1w,full,196,0.49023997730481356,3.024536068504822e-13,0.14097135140324363,4.147916624755954,3.355145334989149e-05,0.056911703680940055,0.12616236465325759,0.06925066097231752
h_t,1,fwd_vol_1w,high_conf,58,0.333538404749454,0.01050999762762463,0.14707605157627057,2.77366964111465,0.005542793312615524,0.09655340309690322,0.15826768203664318,0.061714278939739964
h_t,1,fwd_mdd_1w,full,196,0.3437594787326556,8.096937395987928e-07,0.03378944351887756,3.912539523476984,9.13305845898044e-05,0.011384632307718679,0.02601961874713909,0.014634986439420412
h_t,1,fwd_mdd_1w,high_conf,58,0.2817373650373743,0.03214932887386711,0.03668701363888342,2.3247452118160283,0.02008558817862758,0.022131636763249616,0.03453140674212315,0.012399769978873532
h_t,4,fwd_ret_4w,full,196,-0.07120706643892319,0.3213038768759657,-0.03168516257328416,-0.96051438168915,0.33679639637100567,0.02204968054013205,0.004180294279292777,-0.01786938626083927
h_t,4,fwd_ret_4w,high_conf,58,0.0542311359931096,0.6859781266696275,0.01177804550030824,0.16983857404905897,0.8651370898980452,-0.025751963966837196,-0.017288928467649872,0.008463035499187324
h_t,4,fwd_vol_4w,full,196,0.5687273660350626,3.4442629933458468e-18,0.116053424986324,3.813908826520327,0.0001367859487095066,0.07110587263255246,0.12621765822557662,0.05511178559302417
h_t,4,fwd_vol_4w,high_conf,58,0.5736565258851396,2.5110463749605e-06,0.15918964078589498,4.883056194575407,1.0445408701262748e-06,0.11535951608462165,0.15542463192283879,0.04006511583821713
h_t,4,fwd_mdd_4w,full,196,0.3917175463396459,1.3667982068288373e-08,0.0739073491518865,3.291612954264259,0.0009961460431033744,0.026209118458133295,0.07117216224722876,0.044963043789095464
