week_end,k_hat_t,p_t,s_t,h_t,rho_t,I_t,interpretability,mode,degraded_reason,strict_contracts_satisfied
2000-01-07,,,,,,,,warmup,,
2000-01-14,,,,,,,,warmup,,
2000-01-21,,,,,,,,warmup,,
2000-01-28,,,,,,,,warmup,,
2000-02-04,,,,,,,,warmup,,
2000-02-11,,,,,,,,warmup,,
2000-02-18,,,,,,,,warmup,,
2000-02-25,,,,,,,,warmup,,
2000-03-03,,,,,,,,warmup,,
2000-03-10,,,,,,,,warmup,,
2000-03-17,,,,,,,,warmup,,
2000-03-24,,,,,,,,warmup,,
2000-03-31,,,,,,,,warmup,,
2000-04-07,,,,,,,,warmup,,
2000-04-14,,,,,,,,warmup,,
2000-04-21,,,,,,,,warmup,,
2000-04-28,,,,,,,,warmup,,
2000-05-05,,,,,,,,warmup,,
2000-05-12,,,,,,,,warmup,,
2000-05-19,,,,,,,,warmup,,
2000-05-26,,,,,,,,warmup,,
2000-06-02,,,,,,,,warmup,,
2000-06-09,,,,,,,,warmup,,
2000-06-16,,,,,,,,warmup,,
2000-06-23,,,,,,,,warmup,,
2000-06-30,,,,,,,,warmup,,
2000-07-07,,,,,,,,warmup,,
2000-07-14,,,,,,,,warmup,,
2000-07-21,,,,,,,,warmup,,
2000-07-28,,,,,,,,warmup,,
2000-08-04,,,,,,,,warmup,,
2000-08-11,,,,,,,,warmup,,
2000-08-18,,,,,,,,warmup,,
2000-08-25,,,,,,,,warmup,,
2000-09-01,,,,,,,,warmup,,
2000-09-08,,,,,,,,warmup,,
2000-09-15,,,,,,,,warmup,,
2000-09-22,,,,,,,,warmup,,
2000-09-29,,,,,,,,warmup,,
2000-10-06,,,,,,,,warmup,,
2000-10-13,,,,,,,,warmup,,
2000-10-20,,,,,,,,warmup,,
2000-10-27,,,,,,,,warmup,,
2000-11-03,,,,,,,,warmup,,
2000-11-10,,,,,,,,warmup,,
2000-11-17,,,,,,,,warmup,,
2000-11-24,,,,,,,,warmup,,
2000-12-01,,,,,,,,warmup,,
2000-12-08,,,,,,,,warmup,,
2000-12-15,,,,,,,,warmup,,
2000-12-22,,,,,,,,warmup,,
2000-12-29,,,,,,,,warmup,,
2001-01-05,,,,,,,,warmup,,
2001-01-12,,,,,,,,warmup,,
2001-01-19,,,,,,,,warmup,,
2001-01-26,,,,,,,,warmup,,
2001-02-02,,,,,,,,warmup,,
2001-02-09,,,,,,,,warmup,,
2001-02-16,,,,,,,,warmup,,
2001-02-23,,,,,,,,warmup,,
2001-03-02,,,,,,,,warmup,,
2001-03-09,,,,,,,,warmup,,
2001-03-16,,,,,,,,warmup,,
2001-03-23,,,,,,,,warmup,,
2001-03-30,,,,,,,,warmup,,
2001-04-06,,,,,,,,warmup,,
2001-04-13,,,,,,,,warmup,,
2001-04-20,,,,,,,,warmup,,
2001-04-27,,,,,,,,warmup,,
2001-05-04,,,,,,,,warmup,,
2001-05-11,,,,,,,,warmup,,
2001-05-18,,,,,,,,warmup,,
2001-05-25,,,,,,,,warmup,,
2001-06-01,,,,,,,,warmup,,
2001-06-08,,,,,,,,warmup,,
2001-06-15,,,,,,,,warmup,,
2001-06-22,,,,,,,,warmup,,
2001-06-29,,,,,,,,warmup,,
2001-07-06,,,,,,,,warmup,,
2001-07-13,,,,,,,,warmup,,
2001-07-20,,,,,,,,warmup,,
2001-07-27,,,,,,,,warmup,,
2001-08-03,,,,,,,,warmup,,
2001-08-10,,,,,,,,warmup,,
2001-08-17,,,,,,,,warmup,,
2001-08-24,,,,,,,,warmup,,
2001-08-31,,,,,,,,warmup,,
2001-09-07,,,,,,,,warmup,,
2001-09-14,,,,,,,,warmup,,
2001-09-21,,,,,,,,warmup,,
2001-09-28,,,,,,,,warmup,,
2001-10-05,,,,,,,,warmup,,
2001-10-12,,,,,,,,warmup,,
2001-10-19,,,,,,,,warmup,,
2001-10-26,,,,,,,,warmup,,
2001-11-02,,,,,,,,warmup,,
2001-11-09,,,,,,,,warmup,,
2001-11-16,,,,,,,,warmup,,
2001-11-23,,,,,,,,warmup,,
2001-11-30,,,,,,,,warmup,,
2001-12-07,,,,,,,,warmup,,
2001-12-14,,,,,,,,warmup,,
2001-12-21,,,,,,,,warmup,,
2001-12-28,,,,,,,,warmup,,
2002-01-04,,,,,,,,warmup,,
2002-01-11,,,,,,,,warmup,,
2002-01-18,,,,,,,,warmup,,
2002-01-25,,,,,,,,warmup,,
2002-02-01,,,,,,,,warmup,,
2002-02-08,,,,,,,,warmup,,
2002-02-15,,,,,,,,warmup,,
2002-02-22,,,,,,,,warmup,,
2002-03-01,,,,,,,,warmup,,
2002-03-08,,,,,,,,warmup,,
2002-03-15,,,,,,,,warmup,,
2002-03-22,,,,,,,,warmup,,
2002-03-29,,,,,,,,warmup,,
2002-04-05,,,,,,,,warmup,,
2002-04-12,,,,,,,,warmup,,
2002-04-19,,,,,,,,warmup,,
2002-04-26,,,,,,,,warmup,,
2002-05-03,,,,,,,,warmup,,
2002-05-10,,,,,,,,warmup,,
2002-05-17,,,,,,,,warmup,,
2002-05-24,,,,,,,,warmup,,
2002-05-31,,,,,,,,warmup,,
2002-06-07,,,,,,,,warmup,,
2002-06-14,,,,,,,,warmup,,
2002-06-21,,,,,,,,warmup,,
2002-06-28,,,,,,,,warmup,,
2002-07-05,,,,,,,,warmup,,
2002-07-12,,,,,,,,warmup,,
2002-07-19,,,,,,,,warmup,,
2002-07-26,,,,,,,,warmup,,
2002-08-02,,,,,,,,warmup,,
2002-08-09,,,,,,,,warmup,,
2002-08-16,,,,,,,,warmup,,
2002-08-23,,,,,,,,warmup,,
2002-08-30,,,,,,,,warmup,,
2002-09-06,,,,,,,,warmup,,
2002-09-13,,,,,,,,warmup,,
2002-09-20,,,,,,,,warmup,,
2002-09-27,,,,,,,,warmup,,
2002-10-04,,,,,,,,warmup,,
2002-10-11,,,,,,,,warmup,,
2002-10-18,,,,,,,,warmup,,
2002-10-25,,,,,,,,warmup,,
2002-11-01,,,,,,,,warmup,,
2002-11-08,,,,,,,,warmup,,
2002-11-15,,,,,,,,warmup,,
2002-11-22,,,,,,,,warmup,,
2002-11-29,,,,,,,,warmup,,
2002-12-06,,,,,,,,warmup,,
2002-12-13,,,,,,,,warmup,,
2002-12-20,,,,,,,,warmup,,
2002-12-27,,,,,,,,warmup,,
2003-01-03,,,,,,,,warmup,,
2003-01-10,,,,,,,,warmup,,
2003-01-17,,,,,,,,warmup,,
2003-01-24,,,,,,,,warmup,,
2003-01-31,,,,,,,,warmup,,
2003-02-07,,,,,,,,warmup,,
2003-02-14,,,,,,,,warmup,,
2003-02-21,,,,,,,,warmup,,
2003-02-28,,,,,,,,warmup,,
2003-03-07,,,,,,,,warmup,,
2003-03-14,,,,,,,,warmup,,
2003-03-21,,,,,,,,warmup,,
2003-03-28,,,,,,,,warmup,,
2003-04-04,,,,,,,,warmup,,
2003-04-11,,,,,,,,warmup,,
2003-04-18,,,,,,,,warmup,,
2003-04-25,,,,,,,,warmup,,
2003-05-02,,,,,,,,warmup,,
2003-05-09,,,,,,,,warmup,,
2003-05-16,,,,,,,,warmup,,
2003-05-23,,,,,,,,warmup,,
2003-05-30,,,,,,,,warmup,,
2003-06-06,,,,,,,,warmup,,
2003-06-13,,,,,,,,warmup,,
2003-06-20,,,,,,,,warmup,,
2003-06-27,,,,,,,,warmup,,
2003-07-04,,,,,,,,warmup,,
2003-07-11,,,,,,,,warmup,,
2003-07-18,,,,,,,,warmup,,
2003-07-25,,,,,,,,warmup,,
2003-08-01,,,,,,,,warmup,,
2003-08-08,,,,,,,,warmup,,
2003-08-15,,,,,,,,warmup,,
2003-08-22,,,,,,,,warmup,,
2003-08-29,,,,,,,,warmup,,
2003-09-05,,,,,,,,warmup,,
2003-09-12,,,,,,,,warmup,,
2003-09-19,,,,,,,,warmup,,
2003-09-26,,,,,,,,warmup,,
2003-10-03,,,,,,,,warmup,,
2003-10-10,,,,,,,,warmup,,
2003-10-17,,,,,,,,warmup,,
2003-10-24,,,,,,,,warmup,,
2003-10-31,,,,,,,,warmup,,
2003-11-07,,,,,,,,warmup,,
2003-11-14,,,,,,,,warmup,,
2003-11-21,,,,,,,,warmup,,
2003-11-28,,,,,,,,warmup,,
2003-12-05,,,,,,,,warmup,,
2003-12-12,,,,,,,,warmup,,
2003-12-19,,,,,,,,warmup,,
2003-12-26,,,,,,,,warmup,,
2004-01-02,,,,,,,,warmup,,
2004-01-09,,,,,,,,warmup,,
2004-01-16,,,,,,,,warmup,,
2004-01-23,,,,,,,,warmup,,
2004-01-30,,,,,,,,warmup,,
2004-02-06,,,,,,,,warmup,,
2004-02-13,,,,,,,,warmup,,
2004-02-20,,,,,,,,warmup,,
2004-02-27,,,,,,,,warmup,,
2004-03-05,,,,,,,,warmup,,
2004-03-12,,,,,,,,warmup,,
2004-03-19,,,,,,,,warmup,,
2004-03-26,,,,,,,,warmup,,
2004-04-02,,,,,,,,warmup,,
2004-04-09,,,,,,,,warmup,,
2004-04-16,,,,,,,,warmup,,
2004-04-23,,,,,,,,warmup,,
2004-04-30,,,,,,,,warmup,,
2004-05-07,,,,,,,,warmup,,
2004-05-14,,,,,,,,warmup,,
2004-05-21,,,,,,,,warmup,,
2004-05-28,,,,,,,,warmup,,
2004-06-04,,,,,,,,warmup,,
2004-06-11,,,,,,,,warmup,,
2004-06-18,,,,,,,,warmup,,
2004-06-25,,,,,,,,warmup,,
2004-07-02,,,,,,,,warmup,,
2004-07-09,,,,,,,,warmup,,
2004-07-16,,,,,,,,warmup,,
2004-07-23,,,,,,,,warmup,,
2004-07-30,,,,,,,,warmup,,
2004-08-06,,,,,,,,warmup,,
2004-08-13,,,,,,,,warmup,,
2004-08-20,,,,,,,,warmup,,
2004-08-27,,,,,,,,warmup,,
2004-09-03,,,,,,,,warmup,,
2004-09-10,,,,,,,,warmup,,
2004-09-17,,,,,,,,warmup,,
2004-09-24,,,,,,,,warmup,,
2004-10-01,,,,,,,,warmup,,
2004-10-08,,,,,,,,warmup,,
2004-10-15,,,,,,,,warmup,,
2004-10-22,,,,,,,,warmup,,
2004-10-29,,,,,,,,warmup,,
2004-11-05,,,,,,,,warmup,,
2004-11-12,,,,,,,,warmup,,
2004-11-19,,,,,,,,warmup,,
2004-11-26,,,,,,,,warmup,,
2004-12-03,,,,,,,,warmup,,
2004-12-10,,,,,,,,warmup,,
2004-12-17,,,,,,,,warmup,,
2004-12-24,,,,,,,,warmup,,
2004-12-31,,,,,,,,warmup,,
2005-01-07,,,,,,,,warmup,,
2005-01-14,,,,,,,,warmup,,
2005-01-21,,,,,,,,warmup,,
2005-01-28,,,,,,,,warmup,,
2005-02-04,,,,,,,,warmup,,
2005-02-11,,,,,,,,warmup,,
2005-02-18,,,,,,,,warmup,,
2005-02-25,,,,,,,,warmup,,
2005-03-04,,,,,,,,warmup,,
2005-03-11,,,,,,,,warmup,,
2005-03-18,,,,,,,,warmup,,
2005-03-25,,,,,,,,warmup,,
2005-04-01,,,,,,,,warmup,,
2005-04-08,,,,,,,,warmup,,
2005-04-15,,,,,,,,warmup,,
2005-04-22,,,,,,,,warmup,,
2005-04-29,,,,,,,,warmup,,
2005-05-06,,,,,,,,warmup,,
2005-05-13,,,,,,,,warmup,,
2005-05-20,,,,,,,,warmup,,
2005-05-27,,,,,,,,warmup,,
2005-06-03,,,,,,,,warmup,,
2005-06-10,,,,,,,,warmup,,
2005-06-17,,,,,,,,warmup,,
2005-06-24,,,,,,,,warmup,,
2005-07-01,,,,,,,,warmup,,
2005-07-08,,,,,,,,warmup,,
2005-07-15,,,,,,,,warmup,,
2005-07-22,,,,,,,,warmup,,
