week_end,k_hat_t,p_t,s_t,h_t,rho_t,I_t,interpretability,mode,degraded_reason,strict_contracts_satisfied
1996-01-05,,,,,,,,warmup,,
1996-01-12,,,,,,,,warmup,,
1996-01-19,,,,,,,,warmup,,
1996-01-26,,,,,,,,warmup,,
1996-02-02,,,,,,,,warmup,,
1996-02-09,,,,,,,,warmup,,
1996-02-16,,,,,,,,warmup,,
1996-02-23,,,,,,,,warmup,,
1996-03-01,,,,,,,,warmup,,
1996-03-08,,,,,,,,warmup,,
1996-03-15,,,,,,,,warmup,,
1996-03-22,,,,,,,,warmup,,
1996-03-29,,,,,,,,warmup,,
1996-04-05,,,,,,,,warmup,,
1996-04-12,,,,,,,,warmup,,
1996-04-19,,,,,,,,warmup,,
1996-04-26,,,,,,,,warmup,,
1996-05-03,,,,,,,,warmup,,
1996-05-10,,,,,,,,warmup,,
1996-05-17,,,,,,,,warmup,,
1996-05-24,,,,,,,,warmup,,
1996-05-31,,,,,,,,warmup,,
1996-06-07,,,,,,,,warmup,,
1996-06-14,,,,,,,,warmup,,
1996-06-21,,,,,,,,warmup,,
1996-06-28,,,,,,,,warmup,,
1996-07-05,,,,,,,,warmup,,
1996-07-12,,,,,,,,warmup,,
1996-07-19,,,,,,,,warmup,,
1996-07-26,,,,,,,,warmup,,
1996-08-02,,,,,,,,warmup,,
1996-08-09,,,,,,,,warmup,,
1996-08-16,,,,,,,,warmup,,
1996-08-23,,,,,,,,warmup,,
1996-08-30,,,,,,,,warmup,,
1996-09-06,,,,,,,,warmup,,
1996-09-13,,,,,,,,warmup,,
1996-09-20,,,,,,,,warmup,,
1996-09-27,,,,,,,,warmup,,
1996-10-04,,,,,,,,warmup,,
1996-10-11,,,,,,,,warmup,,
1996-10-18,,,,,,,,warmup,,
1996-10-25,,,,,,,,warmup,,
1996-11-01,,,,,,,,warmup,,
1996-11-08,,,,,,,,warmup,,
1996-11-15,,,,,,,,warmup,,
1996-11-22,,,,,,,,warmup,,
1996-11-29,,,,,,,,warmup,,
1996-12-06,,,,,,,,warmup,,
1996-12-13,,,,,,,,warmup,,
1996-12-20,,,,,,,,warmup,,
1996-12-27,,,,,,,,warmup,,
1997-01-03,,,,,,,,warmup,,
1997-01-10,,,,,,,,warmup,,
1997-01-17,,,,,,,,warmup,,
1997-01-24,,,,,,,,warmup,,
1997-01-31,,,,,,,,warmup,,
1997-02-07,,,,,,,,warmup,,
1997-02-14,,,,,,,,warmup,,
1997-02-21,,,,,,,,warmup,,
1997-02-28,,,,,,,,warmup,,
1997-03-07,,,,,,,,warmup,,
1997-03-14,,,,,,,,warmup,,
1997-03-21,,,,,,,,warmup,,
1997-03-28,,,,,,,,warmup,,
1997-04-04,,,,,,,,warmup,,
1997-04-11,,,,,,,,warmup,,
1997-04-18,,,,,,,,warmup,,
1997-04-25,,,,,,,,warmup,,
1997-05-02,,,,,,,,warmup,,
1997-05-09,,,,,,,,warmup,,
1997-05-16,,,,,,,,warmup,,
1997-05-23,,,,,,,,warmup,,
1997-05-30,,,,,,,,warmup,,
1997-06-06,,,,,,,,warmup,,
1997-06-13,,,,,,,,warmup,,
1997-06-20,,,,,,,,warmup,,
1997-06-27,,,,,,,,warmup,,
1997-07-04,,,,,,,,warmup,,
1997-07-11,,,,,,,,warmup,,
1997-07-18,,,,,,,,warmup,,
1997-07-25,,,,,,,,warmup,,
1997-08-01,,,,,,,,warmup,,
1997-08-08,,,,,,,,warmup,,
1997-08-15,,,,,,,,warmup,,
1997-08-22,,,,,,,,warmup,,
1997-08-29,,,,,,,,warmup,,
1997-09-05,,,,,,,,warmup,,
1997-09-12,,,,,,,,warmup,,
1997-09-19,,,,,,,,warmup,,
1997-09-26,,,,,,,,warmup,,
1997-10-03,,,,,,,,warmup,,
1997-10-10,,,,,,,,warmup,,
1997-10-17,,,,,,,,warmup,,
1997-10-24,,,,,,,,warmup,,
1997-10-31,,,,,,,,warmup,,
1997-11-07,,,,,,,,warmup,,
1997-11-14,,,,,,,,warmup,,
1997-11-21,,,,,,,,warmup,,
1997-11-28,,,,,,,,warmup,,
1997-12-05,,,,,,,,warmup,,
1997-12-12,,,,,,,,warmup,,
1997-12-19,,,,,,,,warmup,,
1997-12-26,,,,,,,,warmup,,
1998-01-02,,,,,,,,warmup,,
1998-01-09,,,,,,,,warmup,,
1998-01-16,,,,,,,,warmup,,
1998-01-23,,,,,,,,warmup,,
1998-01-30,,,,,,,,warmup,,
1998-02-06,,,,,,,,warmup,,
1998-02-13,,,,,,,,warmup,,
1998-02-20,,,,,,,,warmup,,
1998-02-27,,,,,,,,warmup,,
1998-03-06,,,,,,,,warmup,,
1998-03-13,,,,,,,,warmup,,
1998-03-20,,,,,,,,warmup,,
1998-03-27,,,,,,,,warmup,,
1998-04-03,,,,,,,,warmup,,
1998-04-10,,,,,,,,warmup,,
1998-04-17,,,,,,,,warmup,,
1998-04-24,,,,,,,,warmup,,
1998-05-01,,,,,,,,warmup,,
1998-05-08,,,,,,,,warmup,,
1998-05-15,,,,,,,,warmup,,
1998-05-22,,,,,,,,warmup,,
1998-05-29,,,,,,,,warmup,,
1998-06-05,,,,,,,,warmup,,
