instrument_id,normalized_weight
CUSIP:67066G104,0.0931772
CUSIP:037833100,0.06954839
CUSIP:594918104,0.0558422899999999
CUSIP:023135106,0.04962081
CUSIP:02079K305,0.03610663
CUSIP:30303M102,0.03543073
CUSIP:11135F101,0.03509974
CUSIP:02079K107,0.03354997
CUSIP:88160R101,0.03345655
CUSIP:931142103,0.03047351
CUSIP:595112103,0.0288527
CUSIP:007903107,0.02666275
CUSIP:22160K105,0.02164884
CUSIP:458140100,0.02074654
CUSIP:64110L106,0.01885303
CUSIP:17275R102,0.01703695
CUSIP:69608A108,0.01602493
CUSIP:512807306,0.01583479
CUSIP:038222105,0.015702
CUSIP:482480100,0.01217077
CUSIP:882508104,0.0119528699999999
CUSIP:G54950103,0.0115665
CUSIP:713448108,0.01029206
CUSIP:872590104,0.0098407199999999
CUSIP:032654105,0.00936666
CUSIP:031162100,0.00896178
CUSIP:46120E602,0.00817417
CUSIP:747525103,0.0078352
CUSIP:375558103,0.0077503699999999
CUSIP:80004C200,0.00771954
CUSIP:82509L107,0.00744343
CUSIP:697435105,0.0072936599999999
CUSIP:03831W108,0.0069073799999999
CUSIP:09857L108,0.00686948
CUSIP:573874104,0.00673833
CUSIP:958102105,0.00663963
CUSIP:438516106,0.00658743
CUSIP:G7997R103,0.00635022
CUSIP:N07059210,0.00616715
CUSIP:22788C105,0.00560083
CUSIP:21037T109,0.00557548
CUSIP:855244109,0.00545029
CUSIP:92532F100,0.00528879
CUSIP:461202103,0.00526977
CUSIP:20030N101,0.0048243
CUSIP:00724F101,0.00476734
CUSIP:571903202,0.00467061
CUSIP:871607107,0.00466715
CUSIP:58733R102,0.00455708
CUSIP:127387108,0.00454082
CUSIP:126408103,0.00413125
CUSIP:053015103,0.00388093
CUSIP:609839105,0.00381071
CUSIP:75886F107,0.00378001
CUSIP:67103H107,0.00376865
CUSIP:61174X109,0.0036745299999999
CUSIP:609207105,0.003597
CUSIP:778296103,0.00357501
CUSIP:025537101,0.00357015
CUSIP:25809K105,0.00348732
CUSIP:172908105,0.0034011999999999
CUSIP:05722G100,0.00330242
CUSIP:693718108,0.00326909
CUSIP:934423104,0.00325043
CUSIP:722304102,0.00321422
CUSIP:34959E109,0.00309784
CUSIP:N6596X109,0.00292514
CUSIP:009066101,0.0029199399999999
CUSIP:25278X109,0.00270769
CUSIP:594972408,0.00259733
CUSIP:311900104,0.00254106
CUSIP:285512109,0.00247595
CUSIP:052769106,0.00243502
CUSIP:98389B100,0.00242112
CUSIP:N3168P101,0.00238103
CUSIP:30161N101,0.00232898
CUSIP:595017104,0.00229652
CUSIP:679580100,0.00224628
CUSIP:70450Y103,0.0022393
CUSIP:45168D104,0.0022373
CUSIP:G25839104,0.00215301
CUSIP:23804L103,0.00212959
CUSIP:02043Q107,0.00199957
CUSIP:884903808,0.00193568
CUSIP:874054109,0.0019345
CUSIP:49271V100,0.00186911
CUSIP:776696106,0.00177286
CUSIP:05464C101,0.00158181
CUSIP:704326107,0.00157761
CUSIP:36266G107,0.00157054
CUSIP:217204106,0.00157012
CUSIP:042068205,0.00147329
CUSIP:457669307,0.00143242
CUSIP:192446102,0.00127681
CUSIP:500754106,0.00126807
CUSIP:98138H101,0.00122652
CUSIP:92345Y106,0.00117904
CUSIP:252131107,0.0011550199999999
CUSIP:16119P108,0.00108056
CUSIP:98980G102,0.00105382
CUSIP:CASHUSD00,0.0009499
CUSIP:NQM6,0.00084955
CUSIP:22160N109,0.0007434799999999
CUSIP:FUTPLGCSH,-4.89e-06
CUSIP:None,-0.00084955
